Program with weighht pruning, dynamic, many ranges
Torch cuda  False
device  cpu
Test.py:567: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  training_data=torch.tensor(train_ds.dataset.data)
initial result [{'val_loss': 2.306201934814453, 'val_acc': 0.0322265625, 'val_top_1': 0.0322265625, 'val_top_5': 0.504589855670929}]
Test result is  {'val_loss': 0.3928965628147125, 'val_acc': 0.860644519329071, 'val_top_1': 0.860644519329071, 'val_top_5': 0.996777355670929}
Compression= 0.0
Mask compression =  0.1 tensor(0.0615)
After masking, Compression= 0.06138110577437984 Result after pruning is  {'val_loss': 0.39220890402793884, 'val_acc': 0.861035168170929, 'val_top_1': 0.861035168170929, 'val_top_5': 0.996777355670929}
At train
Epoch [0], val_loss: 0.3308, val_acc: 0.8834, val_top_1: 0.8834, val_top_5: 0.9972
Epoch [1], val_loss: 0.3495, val_acc: 0.8795, val_top_1: 0.8795, val_top_5: 0.9970
Epoch [2], val_loss: 0.3383, val_acc: 0.8820, val_top_1: 0.8820, val_top_5: 0.9971
Epoch [3], val_loss: 0.3334, val_acc: 0.8830, val_top_1: 0.8830, val_top_5: 0.9972
Epoch [4], val_loss: 0.3495, val_acc: 0.8769, val_top_1: 0.8769, val_top_5: 0.9974
Epoch [5], val_loss: 0.3624, val_acc: 0.8740, val_top_1: 0.8740, val_top_5: 0.9971
Epoch [6], val_loss: 0.3291, val_acc: 0.8855, val_top_1: 0.8855, val_top_5: 0.9968
Epoch [7], val_loss: 0.3289, val_acc: 0.8829, val_top_1: 0.8829, val_top_5: 0.9970
Epoch [8], val_loss: 0.3282, val_acc: 0.8863, val_top_1: 0.8863, val_top_5: 0.9967
Epoch [9], val_loss: 0.3204, val_acc: 0.8893, val_top_1: 0.8893, val_top_5: 0.9974
Epoch [10], val_loss: 0.3456, val_acc: 0.8796, val_top_1: 0.8796, val_top_5: 0.9972
Epoch [11], val_loss: 0.3180, val_acc: 0.8905, val_top_1: 0.8905, val_top_5: 0.9972
Epoch [12], val_loss: 0.3355, val_acc: 0.8809, val_top_1: 0.8809, val_top_5: 0.9973
Epoch [13], val_loss: 0.3187, val_acc: 0.8889, val_top_1: 0.8889, val_top_5: 0.9974
Epoch [14], val_loss: 0.3246, val_acc: 0.8874, val_top_1: 0.8874, val_top_5: 0.9978
Epoch [15], val_loss: 0.3314, val_acc: 0.8833, val_top_1: 0.8833, val_top_5: 0.9974
Epoch [16], val_loss: 0.3162, val_acc: 0.8902, val_top_1: 0.8902, val_top_5: 0.9975
Epoch [17], val_loss: 0.3164, val_acc: 0.8892, val_top_1: 0.8892, val_top_5: 0.9974
Epoch [18], val_loss: 0.3324, val_acc: 0.8826, val_top_1: 0.8826, val_top_5: 0.9976
Epoch [19], val_loss: 0.3135, val_acc: 0.8892, val_top_1: 0.8892, val_top_5: 0.9977
